Date,Forecast,Lower_Bound,Upper_Bound
2025-06-21,436.60941205166546,417.623557860671,454.86421800105285
2025-06-22,436.7638835856772,419.43837673401794,455.2160707758755
2025-06-23,436.74964864782464,419.4373626160075,454.7506285045485
2025-06-24,436.8217841376436,417.8154986215512,453.5823887446619
2025-06-25,437.0277676304323,418.65404072458125,454.24278782470907
2025-06-26,437.1671015062799,420.3354891545249,455.21052409175553
2025-06-27,437.3593162115766,420.1091339299806,454.57347159925075
2025-06-28,437.72549412653746,419.99124828984117,455.4917093192605
2025-06-29,437.8927138059712,418.9201619686824,455.72342349340994
2025-06-30,437.8917076590184,421.3601233916085,455.7412120940567
2025-07-01,437.9768569166508,418.95089055147855,456.93421991444205
2025-07-02,438.1949097147197,419.7944092517773,456.32327708094834
2025-07-03,438.34462594941544,421.3464411252108,455.9705993031953
2025-07-04,438.54480220421436,420.33022871062633,456.87200712852103
2025-07-05,438.91581761145125,422.49566234630333,456.6210968602751
2025-07-06,439.0840997880586,422.1482779885651,456.9778661201084
2025-07-07,439.0798032839464,420.4670953856613,456.6756879471105
2025-07-08,439.1568237829443,420.8928152167075,456.49410555071876
2025-07-09,439.3615333111038,422.8703462157038,457.2966336474993
2025-07-10,439.4924395886583,421.90719355700696,458.18043431138744
2025-07-11,439.66822237175967,423.1312013216548,459.0467911860921
2025-07-12,440.0092872751483,421.53589315331465,457.2024492351274
2025-07-13,440.1422359354078,421.86214438051053,458.53687525320197
2025-07-14,440.0975447740692,423.65884413153293,459.0472893920862
2025-07-15,440.1295755278184,422.3589571565532,457.39099474527274
2025-07-16,440.28530283723626,422.05386610119496,458.00936228278346
2025-07-17,440.36396217619216,422.3771350262563,458.40212176034186
2025-07-18,440.48507121968663,421.68457055917173,457.4451027740509
2025-07-19,440.76996549263384,421.39513375485126,458.0082105622356
2025-07-20,440.8462476011679,423.21963556327034,459.3401709662729
2025-07-21,440.74544282669126,423.3031467587241,458.6984064063471
2025-07-22,440.72298483600247,422.4620221427179,458.83238070034076
2025-07-23,440.82691743451113,423.39643967581867,459.03679282781246
2025-07-24,440.8575163125443,423.1845903579727,457.80801850852254
2025-07-25,440.9352845646988,422.7362923214958,458.32639450803845
2025-07-26,441.18246350263286,423.1417751586126,458.600259972776
2025-07-27,441.2274587180742,422.53457807743575,458.3005809995814
2025-07-28,441.10247479088565,422.662038071313,458.30700192505793
2025-07-29,441.0634829528111,422.4576969455117,458.6813251049702
2025-07-30,441.1589081186029,422.90755357748344,459.9322147123171
2025-07-31,441.18923963338085,423.7251518623118,458.8970449721138
2025-08-01,441.27501981827413,424.07762901839044,459.2752127243434
2025-08-02,441.5383520317912,423.3783858149109,458.6516381810665
2025-08-03,441.6073282903039,423.50347719636164,461.1694085384845
2025-08-04,441.51366981628223,424.7273859393462,459.7235937569581
2025-08-05,441.512704686553,424.42724315518416,458.9471873954787
2025-08-06,441.65206874560164,425.23445048493227,460.72955101120465
2025-08-07,441.73133378441446,424.54429313170095,459.7449187592759
2025-08-08,441.87001662638556,424.48946737430396,458.497740724131
2025-08-09,442.1891103170142,424.3783466110083,460.40815344553977
2025-08-10,442.3155368739605,424.91973576544996,460.2870261902706
2025-08-11,442.2798143291024,424.46746932440243,460.7191738152372
2025-08-12,442.33606156485956,423.22735365303686,458.88243804425093
2025-08-13,442.5307264248643,424.3380089471987,459.2420498236636
2025-08-14,442.6622404179536,425.69229326908965,461.00648371191176
2025-08-15,442.849052997114,424.6202822070628,459.50187829427546
2025-08-16,443.21118598935317,425.5352673695235,461.707393512004
2025-08-17,443.3747070678659,425.8850792437967,461.78930390302406
2025-08-18,443.36941450315425,424.5865687688142,461.04236171399003
2025-08-19,443.4488562834969,425.61333748589425,461.99785597092415
2025-08-20,443.6590687663312,426.48487580195905,461.7333078925578
2025-08-21,443.7982379622725,426.5648323944571,461.7090275628216
2025-08-22,443.9847363222709,425.6048290901646,461.746828028014
2025-08-23,444.3386756009397,425.96498803074314,461.3983867596913
2025-08-24,444.48637479162727,427.59005088378353,463.78395057113585
2025-08-25,444.45803557737526,426.21865014941056,461.6090345131471
2025-08-26,444.5077486921525,427.47169056207224,463.82644404450036
2025-08-27,444.68221674511545,426.2391479459302,462.00888082554894
2025-08-28,444.7803970763303,424.896634981271,462.530348093954
2025-08-29,444.9215180430931,428.0224805444504,463.2019909301388
2025-08-30,445.2266098851592,428.3486564759072,462.7512939798933
2025-08-31,445.32294977007655,427.0377580878901,461.7827418580824
2025-09-01,445.2417140816417,427.19684688711726,463.6436673846939
2025-09-02,445.23796196078234,427.43201902396333,463.413853779501
2025-09-03,445.35933624563575,428.139345760401,463.27201742005195
2025-09-04,445.40568593620725,426.7592599080035,463.0538699756708
2025-09-05,445.49706408763586,427.6694911243896,463.745439880981
2025-09-06,445.755242719958,428.7953267499476,463.82714477503913
2025-09-07,445.8081447084299,427.8934642248292,465.43459996266233
2025-09-08,445.6874859945885,427.03580122466747,465.85592756936677
2025-09-09,445.64875231229826,426.83890313284525,464.33035511454193
2025-09-10,445.7398966644661,428.02664540443527,464.092431000145
2025-09-11,445.76096166766285,428.69544840293986,463.2938251892235
2025-09-12,445.8320805652414,428.27502242229804,465.45951651393705
2025-09-13,446.07499830254596,428.0865949640299,464.64097638326365
2025-09-14,446.11751235014265,428.4702494610511,464.6816780423752
2025-09-15,445.99112626266134,427.98370949116344,462.4861821305505
2025-09-16,445.9510397517446,427.7257353831552,462.73465076753985
2025-09-17,446.044861043056,428.75366377352407,464.0965649315516
2025-09-18,446.07224513315134,428.1389099109123,464.26077339325957
