date,Close,High,Low,Open,Volume
10/14/1988,0.21817033,0.222427037,0.217106162,0.221362851,56764800
10/17/1988,0.221362889,0.223491243,0.218170367,0.218170367,25675200
10/18/1988,0.223491386,0.224555572,0.218170506,0.220298862,37224000
10/19/1988,0.226684436,0.228812791,0.222427106,0.227748604,80683200
10/20/1988,0.227748737,0.229877092,0.224555591,0.224555591,73296000
10/21/1988,0.225620344,0.2277487,0.223491368,0.225620344,24264000
10/24/1988,0.221362889,0.226684404,0.220830805,0.226684404,28627200
10/25/1988,0.21497725,0.222427102,0.212848895,0.221362915,74548800
10/26/1988,0.21178484,0.214977382,0.20646396,0.213913195,157420800
10/27/1988,0.210720524,0.210720524,0.203270673,0.209656356,114336000
10/28/1988,0.210720524,0.211784692,0.206463816,0.209656356,46540800
10/31/1988,0.208592147,0.209656333,0.206463793,0.209656333,41284800
11/1/1988,0.207528055,0.211784746,0.207528055,0.208592223,53280000
11/2/1988,0.201142401,0.207528087,0.199014045,0.207528087,221803200
11/3/1988,0.201142401,0.203270756,0.196353606,0.201142401,118339200
11/4/1988,0.197949842,0.203270719,0.197949842,0.197949842,106603200
11/7/1988,0.199014023,0.200078209,0.195820879,0.197949855,55065600
11/8/1988,0.206995979,0.20859225,0.200078227,0.201142395,56606400
11/9/1988,0.21178484,0.212849027,0.203270814,0.204334983,124732800
11/10/1988,0.208592147,0.214977208,0.208592147,0.211784668,78796800
11/11/1988,0.202738628,0.20859221,0.202206525,0.206463856,54936000
11/14/1988,0.206463844,0.20752803,0.202206514,0.204334868,34329600
11/15/1988,0.200078174,0.206463841,0.19794982,0.206463841,93902400
11/16/1988,0.19688569,0.2011424,0.193692546,0.200610316,199008000
11/17/1988,0.195821017,0.199014163,0.19475683,0.196885807,65865600
11/18/1988,0.198481932,0.199014016,0.194756686,0.196885662,34430400
11/21/1988,0.195821017,0.196885807,0.192628473,0.195821017,47102400
11/22/1988,0.195821017,0.197949994,0.193692661,0.195821017,30312000
11/23/1988,0.199546054,0.200078156,0.195820827,0.196885616,56548800
11/25/1988,0.197417632,0.197949734,0.194756573,0.196885548,11462400
11/28/1988,0.200078174,0.202206511,0.196885634,0.196885634,58737600
11/29/1988,0.202206537,0.202206537,0.199014014,0.200078201,21873600
11/30/1988,0.201142401,0.203270756,0.201142401,0.201142401,35193600
12/1/1988,0.208592147,0.210720501,0.200078128,0.202206464,82008000
12/2/1988,0.21178484,0.213913195,0.20646396,0.20646396,91497600
12/5/1988,0.210720524,0.214977232,0.207528002,0.211784692,70142400
12/6/1988,0.21178484,0.21178484,0.208592315,0.210720671,44366400
12/7/1988,0.209656522,0.212849046,0.209124419,0.21072069,30888000
12/8/1988,0.208592147,0.210720501,0.207527979,0.209656333,40176000
